cgi,Ê±¼ä,download
460-00-10505086-2,2021/1/1,
460-00-10505086-3,2021/1/1,
460-00-10505065-1,2021/1/1,0.039678146
460-00-10505065-2,2021/1/1,0.020881551
460-00-10505065-3,2021/1/1,0.034831573
460-00-10505068-1,2021/1/1,0.006243102
460-00-10505068-2,2021/1/1,0.006275246
460-00-10505068-3,2021/1/1,0.004045372
460-00-10505085-1,2021/1/1,0.001103435
460-00-10505085-2,2021/1/1,0.004004997
460-00-10505085-3,2021/1/1,0.008819178
460-00-10505087-1,2021/1/1,0.00279587
460-00-10505087-2,2021/1/1,0.002420104
460-00-10505087-3,2021/1/1,0.002913993
460-00-10505088-3,2021/1/1,0.002774457
460-00-10505089-1,2021/1/1,0.00593158
460-00-10505089-2,2021/1/1,0.002790391
460-00-10505089-3,2021/1/1,0.004584577
460-00-10505090-1,2021/1/1,0.002252049
460-00-10505090-3,2021/1/1,0.002015033
460-00-10505096-2,2021/1/1,0.002163275
460-00-10505096-3,2021/1/1,0.003322693
460-00-10505097-1,2021/1/1,0.001738771
460-00-10505097-2,2021/1/1,0.002371139
460-00-10505098-1,2021/1/1,0.002009859
460-00-10505098-2,2021/1/1,0.002074435
460-00-10505099-1,2021/1/1,0.004362908
460-00-10505099-2,2021/1/1,0.007097362
460-00-10505100-1,2021/1/1,0.003994306
460-00-10505100-2,2021/1/1,0.00205019
460-00-10505101-1,2021/1/1,0.000971121
460-00-10505101-2,2021/1/1,0.00072938
460-00-10505101-3,2021/1/1,0.001081632
460-00-10505102-1,2021/1/1,0.002751406
460-00-10505102-2,2021/1/1,0.001224082
460-00-10505102-3,2021/1/1,0.001789091
460-00-10505106-1,2021/1/1,0.000627263
460-00-10505106-2,2021/1/1,0.002401824
460-00-10505106-3,2021/1/1,0.00282574
460-00-10505112-1,2021/1/1,0.001038176
460-00-10505112-2,2021/1/1,0.000336374
460-00-10505121-1,2021/1/1,0.000997265
460-00-10505121-2,2021/1/1,0.000701356
460-00-10505122-1,2021/1/1,0.004781267
460-00-10505122-2,2021/1/1,0.029185799
460-00-10505122-3,2021/1/1,0.021614415
460-00-10505124-1,2021/1/1,0.012532489
460-00-10505124-2,2021/1/1,0.046418776
460-00-10505129-1,2021/1/1,0.028578482
460-00-10505129-2,2021/1/1,0.018704768
460-00-10505129-3,2021/1/1,0.01261638
460-00-10505132-1,2021/1/1,0.005053188
460-00-10505132-2,2021/1/1,0.01055611
460-00-10505132-3,2021/1/1,0.004640642
460-00-10505134-1,2021/1/1,0.000372636
460-00-10505134-2,2021/1/1,0.001361071
460-00-10505192-1,2021/1/1,0.002814541
460-00-10505192-2,2021/1/1,0.002579271
460-00-10505192-3,2021/1/1,0.010439429
460-00-10505209-1,2021/1/1,0.021696697
460-00-10505209-2,2021/1/1,0.022895357
460-00-10505209-3,2021/1/1,0.021594677
460-00-10505086-2,2021/1/2,
460-00-10505086-3,2021/1/2,
460-00-10505065-1,2021/1/2,0.028753045
460-00-10505065-2,2021/1/2,0.020751596
460-00-10505065-3,2021/1/2,0.038157117
460-00-10505068-1,2021/1/2,0.009963203
460-00-10505068-2,2021/1/2,0.005057725
460-00-10505068-3,2021/1/2,0.006023532
460-00-10505085-1,2021/1/2,0.001174841
460-00-10505085-2,2021/1/2,0.003552228
460-00-10505085-3,2021/1/2,0.00755675
460-00-10505087-1,2021/1/2,0.002911246
460-00-10505087-2,2021/1/2,0.002012372
460-00-10505087-3,2021/1/2,0.002469076
460-00-10505088-3,2021/1/2,0.003077389
460-00-10505089-1,2021/1/2,0.002376092
460-00-10505089-2,2021/1/2,0.00332862
460-00-10505089-3,2021/1/2,0.005251236
460-00-10505090-1,2021/1/2,0.002168444
460-00-10505090-3,2021/1/2,0.0016269
460-00-10505096-2,2021/1/2,0.001381651
460-00-10505096-3,2021/1/2,0.003212128
460-00-10505097-1,2021/1/2,0.001287359
460-00-10505097-2,2021/1/2,0.001912803
460-00-10505098-1,2021/1/2,0.001790206
460-00-10505098-2,2021/1/2,0.001512963
460-00-10505099-1,2021/1/2,0.002477912
460-00-10505099-2,2021/1/2,0.000616915
460-00-10505100-1,2021/1/2,0.00178569
460-00-10505100-2,2021/1/2,0.004808391
460-00-10505101-1,2021/1/2,0.000961949
460-00-10505101-2,2021/1/2,0.000748422
460-00-10505101-3,2021/1/2,0.000785027
460-00-10505102-1,2021/1/2,0.003359466
460-00-10505102-2,2021/1/2,0.001478564
460-00-10505102-3,2021/1/2,0.002084242
460-00-10505106-1,2021/1/2,0.000327561
460-00-10505106-2,2021/1/2,0.001456236
460-00-10505106-3,2021/1/2,0.00215882
460-00-10505112-1,2021/1/2,0.001008059
460-00-10505112-2,2021/1/2,0.000640144
460-00-10505121-1,2021/1/2,0.00092295
460-00-10505121-2,2021/1/2,0.000852321
